TF-Pair	Correlation	P-Value		
BATF:EBF1	-0.000171704	0.997268579	A	0.000171704
NFATC1:TCF3	-0.000264148	0.995798015	A	0.000264148
EGR1:RUNX3	-0.000453941	0.992778913	A	0.000453941
EBF1:TCF12	-0.001142369	0.981829039	A	0.001142369
MEF2A:ZEB1	0.001198218	0.980940859	A	0.001198218
PAX5:TCF3	0.001229584	0.980442036	A	0.001229584
MEF2A:YY1	0.001553399	0.975292847	A	0.001553399
NFYB:USF2	0.001580751	0.974857955	A	0.001580751
RUNX3:SIN3A	0.001855386	0.97049168	A	0.001855386
MAX:USF2	0.002115942	0.966350067	A	0.002115942
MEF2A:PAX5	0.002572891	0.959088967	A	0.002572891
BATF:MXI1	-0.002776592	0.955853136	A	0.002776592
NFIC:YY1	0.002863031	0.954480241	A	0.002863031
MEF2A:TCF12	0.002884909	0.954132773	A	0.002884909
NFATC1:SPI1	-0.002973877	0.952719903	A	0.002973877
BATF:TCF12	-0.003186748	0.949339962	A	0.003186748
EBF1:USF1	-0.003386001	0.946177072	A	0.003386001
BATF:NFATC1	-0.003725463	0.940790501	A	0.003725463
ELF1:RUNX3	0.004114756	0.934616554	A	0.004114756
TCF12:TCF3	0.00430164	0.931654056	A	0.00430164
EBF1:PAX5	-0.004301737	0.931652519	A	0.004301737
NFIC:PAX5	-0.004474862	0.928908968	A	0.004474862
IKZF1:USF2	0.004692898	0.925454918	A	0.004692898
EGR1:NFIC	0.004734638	0.924793833	A	0.004734638
REST:USF2	0.00484903	0.92298238	A	0.00484903
MEF2A:BCL3	-0.00490921	0.922029548	A	0.00490921
MEF2A:EBF1	0.00493206	0.921667799	A	0.00493206
BHLHE40:NFATC1	-0.004983145	0.92085909	A	0.004983145
MEF2A:RELA	-0.005042677	0.919916773	A	0.005042677
REST:ZNF143	-0.00550972	0.912528029	A	0.00550972
BHLHE40:SPI1	0.005590066	0.911257679	A	0.005590066
SPI1:ZEB1	-0.005988797	0.904956738	A	0.005988797
RUNX3:SPI1	-0.006038098	0.904178061	A	0.006038098
EGR1:USF1	-0.006262158	0.90064037	A	0.006262158
BATF:NFYB	0.006669816	0.894208935	A	0.006669816
BCL3:TCF12	-0.006816998	0.891888578	A	0.006816998
MEF2A:BATF	0.007195115	0.885931783	A	0.007195115
EBF1:TCF3	-0.007513741	0.88091717	A	0.007513741
REST:NFATC1	0.007555492	0.880260424	A	0.007555492
RELA:ZEB1	0.007709168	0.877843812	A	0.007709168
SIN3A:YY1	-0.007791593	0.876548121	A	0.007791593
USF1:YY1	0.008124798	0.871313641	A	0.008124798
MEF2A:NFYB	-0.008240084	0.869503859	A	0.008240084
NFYB:SPI1	0.008499979	0.865426478	A	0.008499979
ELF1:RELA	-0.008720397	0.861971219	A	0.008720397
MXI1:REST	-0.008981308	0.8578846	A	0.008981308
SIN3A:SPI1	-0.009111849	0.855841366	A	0.009111849
MEF2A:BHLHE40	0.009112605	0.855829537	A	0.009112605
BCL3:NFATC1	-0.009143149	0.855351595	A	0.009143149
TCF12:ZEB1	-0.009397621	0.851371831	A	0.009397621
TCF3:ZNF143	0.009570924	0.848663639	A	0.009570924
IKZF1:NFATC1	-0.009699136	0.846661216	A	0.009699136
ELF1:TCF12	-0.010005263	0.841884134	A	0.010005263
NFYB:ZNF143	-0.01002816	0.841527067	A	0.01002816
MAX:SPI1	0.010119321	0.840105755	A	0.010119321
RUNX3:NFIC	0.010331933	0.836792881	A	0.010331933
MAX:RUNX3	-0.010542749	0.833510835	A	0.010542749
ELF1:EGR1	0.010901411	0.827933748	A	0.010901411
MAX:TCF3	0.011061901	0.825440972	A	0.011061901
EGR1:PAX5	-0.011084283	0.825093456	A	0.011084283
MXI1:NFYB	0.01139462	0.820278651	A	0.01139462
BCL3:BHLHE40	-0.011689869	0.815704192	A	0.011689869
RUNX3:TCF3	-0.012088413	0.809539263	A	0.012088413
SIN3A:NFATC1	-0.012089548	0.809521722	A	0.012089548
TCF3:YY1	0.012156316	0.808490067	A	0.012156316
NFIC:SPI1	0.012404469	0.804658642	A	0.012404469
NFIC:NFATC1	0.012406006	0.804634925	A	0.012406006
EGR1:NFATC1	0.012450197	0.803953121	A	0.012450197
NFATC1:ZEB1	-0.012687627	0.800292477	A	0.012687627
BCL3:NFYB	0.012806917	0.798454927	A	0.012806917
TCF12:NFATC1	0.012855341	0.797709325	A	0.012855341
EBF1:YY1	-0.01313559	0.793397816	A	0.01313559
USF1:TCF3	0.013328921	0.79042715	A	0.013328921
